Date,Product,Category,Region,Sales,Discount,Profit,Quantity,Customer ID,Customer Name
16/02/2023 00:00,Laptop,Electronics,East,240.81,2.12,235.7,5,31e7d6fd,Chase Perez
17/02/2023 00:00,Tablet,Electronics,West,134.6,3.03,130.52,4,ec4db513,Amy Lee
18/02/2023 00:00,Monitor,Electronics,East,112.86,1.88,110.74,3,,Danielle Mitchell
19/02/2023 00:00,Tablet,Electronics,West,199.75,11.54,176.7,5,,Karen Price
20/02/2023 00:00,Monitor,Electronics,East,5415.6,17.54,4465.7,5,0f9dc4ad,Alyssa Edwards
21/02/2023 00:00,Monitor,Electronics,South,227.69,8.68,207.93,4,7a17c2aa,Gerald Allen
22/02/2023 00:00,Smartphone,Electronics,North,254.58,3.22,246.38,6,1b9bd148,Carla Day
23/02/2023 00:00,Monitor,Electronics,South,226.65,11.16,201.36,4,463ab263,William Allen
24/02/2023 00:00,Smartphone,Electronics,North,250.6,16.24,209.9,7,74ca51a5,Joseph Johnson
25/02/2023 00:00,Smartphone,Electronics,North,216.05,14.83,184.01,7,83cfd19f,Jamie Miller
26/02/2023 00:00,Smartphone,Electronics,North,224.73,17.63,185.11,6,,Edward Snow
27/02/2023 00:00,Laptop,Electronics,South,194.17,5.56,183.37,3,d112c8f6,Michael Norman
28/02/2023 00:00,Laptop,Electronics,North,223.25,3.88,214.59,1,5ac2f9c4,Jamie Reed
01/03/2023 00:00,Monitor,Electronics,South,208.33,17.6,171.66,8,8c57ceab,Amanda Elliott
02/03/2023 00:00,Smartphone,Electronics,West,6487.8,-13.15,11205.24062,9,4843e80c,Sherry Callahan
03/03/2023 00:00,Laptop,Electronics,East,191.66,6.22,179.74,4,4843e80c,Christopher Johnson
04/03/2023 00:00,Smartphone,Electronics,East,240.45,14.85,204.74,6,a57e9af4,Brittany Salinas
05/03/2023 00:00,Tablet,Electronics,North,164.48,16.3,137.67,9,,Nathan Shields
06/03/2023 00:00,Tablet,Electronics,South,199.08,12.3,174.59,18,a5161184,Emily Vasquez
03/07/2023,Tablet,Electronics,East,265.59,13.76,229.04,9,ebdf0308,Kenneth Clements
08/03/2023 00:00,Monitor,Electronics,South,152.56,7.51,141.1,4,3006f16c,Nicholas Morse
09/03/2023 00:00,Smartphone,Electronics,South,91.91,10.77,82.01,8,fe6b68c0,Casey Baker
10/03/2023 00:00,Tablet,Electronics,North,218.32,10.48,195.44,9,7b460b05,Patricia Chavez
11/03/2023 00:00,Laptop,Electronics,East,187.15,16.96,155.41,4,91a03fdc,Craig Miller
12/03/2023 00:00,Tablet,Electronics,North,7516.2,16.8,6253.48,5,,Nicholas Sellers
13/03/2023 00:00,Tablet,Electronics,North,193.47,16.65,161.26,8,8025d9c8,Cody Garcia
14/03/2023 00:00,Tablet,Electronics,East,169.78,0.22,169.41,18,8303c53e,Joseph Ellis
15/03/2023 00:00,Monitor,Electronics,east,196.21,14.99,166.8,7,8303c53e,Kayla Green
16/03/2023 00:00,Laptop,Electronics,West,254.65,15.17,216.02,3,62b61bb6,Elizabeth Ford
17/03/2023 00:00,Smartphone,Electronics,West,228.77,-13.57,259.81,7,dc045ec6,Kimberly Brown
18/03/2023 00:00,Laptop,Electronics,South,78.3,15.13,66.45,8,eab98f10,Mark Hunt DVM
19/03/2023 00:00,Smartphone,Electronics,East,209.29,16.84,174.05,6,,Angelica Levy
20/03/2023 00:00,Monitor,Electronics,West,211.79,9.41,191.86,9,2321c7ac,Raymond Hall
21/03/2023 00:00,Monitor,Electronics,South,199.09,10.04,179.1,6,9e35376a,Martin Estrada
22/03/2023 00:00,Monitor,Electronics,South,5083.8,2.49,7566.69516,27,4b8ffb1a,Kevin Smith
23/03/2023 00:00,Monitor,Electronics,South,259.73,7.71,239.7,4,174bb9a0,Christopher Hart
24/03/2023 00:00,Smartphone,Electronics,West,262.2,12.87,228.45,8,8e51c899,Jaime Jones
25/03/2023 00:00,Tablet,Electronics,East,89.84,15.61,75.82,4,2a8bf121,Samantha Baker
26/03/2023 00:00,Smartphone,Electronics,North,160.1,4.34,153.15,2,48f99529,Andrew Thompson
27/03/2023 00:00,Laptop,Electronics,South,192.76,2.76,187.44,9,48f99529,Molly Henderson
28/03/2023 00:00,Monitor,Electronics,West,247.43,13.26,214.62,5,77e2e901,Gregory Bowen
29/03/2023 00:00,Monitor,Electronics,West,201.74,0.04,201.66,4,c8c889eb,Ashley Hunt
03-30-2023,Laptop,Electronics,North,165.82,3.57,159.9,6,5a66541f,Shelly Ward
31/03/2023 00:00,Smartphone,Electronics,North,235.48,0.58,234.11,1,14ff00e5,Destiny Suarez
01/04/2023 00:00,Tablet,Electronics,West,5682.9,-3.34,5872.71,7,548d535d,Jamie Garner
02/04/2023 00:00,Tablet,Electronics,East,194.13,3.63,187.08,6,,Dustin Barrett
03/04/2023 00:00,Laptop,Electronics,North,198.64,7.75,183.25,2,0fbc39b3,Bryan Ford
04/04/2023 00:00,Tablet,Electronics,West,228.72,8.05,210.31,8,1fbeb585,Linda Williams
05/04/2023 00:00,Smartphone,Electronics,north,184.57,17.49,152.29,4,2a926fcb,Erin Bailey
06/04/2023 00:00,Smartphone,Electronics,East,234.35,10.2,210.45,8,6d7d925a,Aaron Christensen
07/04/2023 00:00,Laptop,Electronics,South,196.35,14.47,167.94,21,75fe6c79,Adam Rogers
08/04/2023 00:00,Smartphone,Electronics,North,146.65,2.08,143.6,5,75fe6c79,Patricia Atkins
09/04/2023 00:00,Monitor,Electronics,East,198.16,4.51,189.22,8,,Sean Long
10/04/2023 00:00,Laptop,Electronics,West,149.24,14.06,128.26,9,ce9b6663,Courtney Wilson
