Ticket ID,Date Opened,Date Closed,Issue Type,Priority,Resolution Time (Hours),Customer Satisfaction (1-5),Agent Name,Customer ID,Customer Name
TKT0041,2023-02-10 00:00:00,2023-02-22,Account,Urgent,50.07,3.0,Kevin Johnson,,Kaitlyn Donovan
TKT0042,2023-02-11 00:00:00,2023-02-25,Other,Medium,29.52,4.0,Joshua Avila,37696856,Gloria Valentine
TKT0043,2023-02-12 00:00:00,2023-02-13,Software,Low,24.7,5.0,Eric Stephens,da65f541,Brett Riley
TKT0044,2023-02-13 00:00:00,2023-02-17,Network,High,46.55,5.0,Ashley Morgan,3cdc46d3,Natalie Parker
TKT0045,2023-02-14 00:00:00,2023-02-24,Account,Low,49.08,4.0,Daniel Taylor,62ff2524,Mackenzie Page
TKT0046,2023-02-15 00:00:00,2023-02-26,Hardware,High,55.59,1.0,William Miller,cf7f4c1d,Kenneth Williams
TKT0047,2023-02-16 00:00:00,2023-02-25,Hardware,Urgent,40.68,1.0,Daniel Taylor,0253fa98,Carl Gregory Jr.
TKT0048,2023-02-17 00:00:00,2023-03-01,Network,High,56.78,3.0,William Miller,84db6911,James Cook
TKT0049,2023-02-18 00:00:00,2023-02-27,Hardware,High,54.77,4.0,Paula Kennedy,,Jennifer Robertson
TKT0050,2023-02-19 00:00:00,,Network,High,,,Ashley Roberts,7b2f9f39,Eileen Flynn
TKT0051,02-20-2023,2023-03-04,Network,High,53.51,4.0,William Miller,043046c2,Gregory Green
TKT0052,2023-02-21 00:00:00,2023-03-02,Network,Medium,67.01,1.0,Kevin Johnson,043046c2,David Brock
TKT0053,2023-02-22 00:00:00,2023-02-28,Account,Urgent,62.63,4.0,Shawn Dixon,e41a98d8,Valerie Villegas
TKT0054,2023-02-23 00:00:00,,Hardware,Urgent,,,Daniel Taylor,acf91b22,James Hurst
TKT0055,2023-02-24 00:00:00,2023-03-02,Hardware,Low,70.51,4.0,Joshua Avila,6c80f937,Tyler Davis
TKT0056,2023-02-25 00:00:00,2023-03-08,Hardware,Urgent,42.68,1.0,Danielle Robinson,9a58a713,Danielle Parker
TKT0057,2023-02-26 00:00:00,2023-03-06,Hardware,High,41.13,2.0,Ashley Morgan,,Anna Mitchell
TKT0058,2023-02-27 00:00:00,,Hardware,High,,,Ashley Roberts,03d80265,Donna Matthews
TKT0059,2023-02-28 00:00:00,2023-03-06,Hardware,Urgent,58.67,3.0,Paula Kennedy,f5290408,Joseph Robbins
TKT0060,2023-03-01 00:00:00,2023-03-02,Other,Medium,60.42,2.0,Shawn Dixon,e6c33dab,Kendra Hamilton
TKT0061,2023-03-02 00:00:00,2023-03-11,Account,High,34.57,4.0,Eric Stephens,dbf656d9,Michael Brown
TKT0062,2023-03-03 00:00:00,2023-03-08,Hardware,High,44.56,4.0,Joshua Avila,9aaccf54,Jennifer Martinez
TKT0063,2023-03-04 00:00:00,2023-03-10,Software,High,41.71,3.0,Ashley Roberts,d2c50a1c,Michael Todd
TKT0064,2023-03-05 00:00:00,,Software,Urgent,,,Daniel Taylor,f7108127,Justin Perry
TKT0065,2023-03-06 00:00:00,,Hardware,High,,,Paula Kennedy,,Charles Copeland
TKT0066,2023-03-07 00:00:00,2023-03-19,Account,High,67.44,5.0,Ashley Morgan,42f98b3f,Melissa Williams
TKT0067,2023-03-08 00:00:00,2023-03-17,Other,Medium,40.43,4.0,Joshua Avila,7b665bc4,Todd Rosales
TKT0068,2023-03-09 00:00:00,,Hardware,Low,,,Paula Kennedy,c4e98aa0,Jeffrey Crosby
TKT0069,2023-03-10 00:00:00,2023-03-21,Hardware,High,55.73,1.0,William Miller,4e270969,Donald Deleon
TKT0070,2023-03-11 00:00:00,2023-03-21,Other,High,37.18,5.0,Paula Kennedy,080da6c0,Heather Everett
TKT0071,2023-03-12 00:00:00,2023-03-23,Hardware,Urgent,26.62,3.0,William Miller,9bafc307,Taylor Krause
TKT0072,2023-03-13 00:00:00,2023-03-14,Hardware,Low,46.56,3.0,William Miller,b0da8ac8,Tammy Carlson
TKT0073,2023-03-14 00:00:00,2023-03-24,Software,High,55.25,2.0,Danielle Robinson,,Harold Farmer
TKT0074,2023-03-15 00:00:00,2023-03-23,Other,Medium,21.15,1.0,Eric Stephens,dcb6e6b4,Daniel Davis
TKT0075,2023-03-16 00:00:00,,Hardware,Medium,,,Ashley Roberts,d944f077,Jennifer Espinoza
TKT0076,03-17-2023,2023-03-20,Other,Low,44.53,3.0,Ashley Roberts,4ff95f6f,Maria Wolfe
TKT0077,2023-03-18 00:00:00,2023-03-28,Network,High,55.31,4.0,Daniel Taylor,4ff95f6f,Carla Wright
TKT0078,03-19-2023,2023-03-23,Hardware,Medium,44.56,5.0,Ashley Morgan,8a909043,Susan Jones
TKT0079,03-20-2023,2023-03-22,Hardware,Urgent,38.11,3.0,Eric Stephens,ae70bdc7,Dr. Amanda Cruz
TKT0080,2023-03-21 00:00:00,2023-03-23,Software,Low,64.12,1.0,Joshua Avila,a7dbf683,Shannon Benjamin
TKT0081,2023-03-22 00:00:00,2023-03-27,Account,Medium,48.43,1.0,Ashley Morgan,,Paul Booth
TKT0082,2023-03-23 00:00:00,2023-03-24,Network,High,51.38,3.0,Ashley Morgan,99711fcb,Donna Cole
TKT0083,2023-03-24 00:00:00,2023-03-30,Other,High,59.29,5.0,Eric Stephens,e72c442c,Brandy Russo
TKT0084,2023-03-25 00:00:00,,Hardware,Urgent,,,Ashley Morgan,8ac5fd66,Jasmine Jackson
TKT0085,2023-03-26 00:00:00,2023-04-08,Hardware,Low,44.97,3.0,Danielle Robinson,890efbcc,Jennifer Garrett
TKT0086,2023-03-27 00:00:00,2023-04-06,Account,Low,50.59,4.0,Joshua Avila,0494d3bc,Jacqueline Baker
TKT0087,2023-03-28 00:00:00,2023-04-02,Other,Medium,43.96,2.0,Danielle Robinson,050ac4db,Elizabeth Riley
TKT0088,2023-03-29 00:00:00,2023-04-05,Software,Medium,53.74,5.0,Shawn Dixon,08f36e48,Russell Meadows
TKT0089,2023-03-30 00:00:00,2023-04-03,Software,Low,47.39,4.0,Daniel Taylor,,Angela Ross
TKT0090,2023-03-31 00:00:00,2023-04-02,Other,Low,79.64,5.0,Daniel Taylor,5a13f2d1,Michael Macdonald
TKT0091,2023-04-01 00:00:00,,Network,High,,,Joshua Avila,23b4ff54,Amy Chavez
TKT0092,2023-04-02 00:00:00,2023-04-05,Hardware,High,59.58,4.0,Paula Kennedy,45a8bf03,Elizabeth Whitney
TKT0093,2023-04-03 00:00:00,2023-04-07,Other,High,52.85,5.0,Ashley Roberts,bd92f72c,Allison Robinson
TKT0094,2023-04-04 00:00:00,,Other,Urgent,,,Danielle Robinson,98de8f0a,Linda Conley
TKT0095,2023-04-05 00:00:00,2023-04-12,Account,Medium,63.71,3.0,William Miller,c0e08806,Richard Reed
TKT0096,2023-04-06 00:00:00,,Account,High,,,Kevin Johnson,855edb84,Patrick Anderson
TKT0097,04-07-2023,2023-04-14,Other,High,35.55,5.0,Danielle Robinson,,Dr. Amanda Robertson
TKT0098,2023-04-08 00:00:00,2023-04-10,Other,Medium,24.76,2.0,Kevin Johnson,30169e98,Derek Edwards
TKT0099,04-09-2023,,Network,Medium,,,Paula Kennedy,a61b14f5,Tom Baker
TKT0100,2023-04-10 00:00:00,,Network,Urgent,,,Shawn Dixon,04a3ab3f,Ruth Harding
TKT0101,2023-04-11 00:00:00,2023-04-16,Account,Urgent,54.91,3.0,Eric Stephens,50caeff8,Candice Rodriguez
TKT0102,2023-04-12 00:00:00,2023-04-20,Software,Medium,51.65,2.0,Ashley Roberts,50caeff8,Sharon Walker
TKT0103,2023-04-13 00:00:00,2023-04-17,Account,Low,56.56,2.0,Paula Kennedy,9a5a132b,Wendy Johnson
TKT0104,04-14-2023,2023-04-23,Software,Medium,56.04,1.0,Ashley Morgan,1cd668f4,Dustin Fitzgerald
TKT0105,2023-04-15 00:00:00,2023-04-16,Other,Low,41.45,5.0,Ashley Morgan,,Brian Deleon
TKT0106,2023-04-16 00:00:00,,Hardware,Medium,,,Shawn Dixon,a237b462,Tammy Bowen
TKT0107,2023-04-17 00:00:00,2023-04-25,Other,Low,44.22,3.0,Kevin Johnson,f02c2d18,Ann Luna
TKT0108,2023-04-18 00:00:00,2023-04-23,Other,Low,46.58,3.0,Ashley Roberts,4c1372cd,Matthew Warren
TKT0109,04-19-2023,2023-04-29,Network,High,52.92,3.0,Paula Kennedy,36b64c3b,Jorge Murray
TKT0110,2023-04-20 00:00:00,2023-04-21,Other,High,59.25,3.0,Eric Stephens,d4f00698,Jeffrey Grant
TKT0111,2023-04-21 00:00:00,,Hardware,Urgent,,,William Miller,b8c4cc77,Mrs. Robin Gonzalez
TKT0112,2023-04-22 00:00:00,,Hardware,Urgent,,,Ashley Roberts,b567bf90,Christine Stafford
TKT0113,2023-04-23 00:00:00,,Hardware,Low,,,William Miller,,Mark Case
TKT0114,2023-04-24 00:00:00,2023-05-01,Network,Low,67.62,3.0,Shawn Dixon,d7675d0d,Cassandra Jones
TKT0115,2023-04-25 00:00:00,2023-04-26,Network,Low,35.71,4.0,Eric Stephens,1a54ddfa,Suzanne Perez
TKT0116,2023-04-26 00:00:00,2023-05-07,Account,High,52.11,5.0,Eric Stephens,45519969,John Walter
TKT0117,2023-04-27 00:00:00,2023-05-06,Network,Urgent,68.15,2.0,Paula Kennedy,119afbbe,Timothy Richardson
TKT0118,2023-04-28 00:00:00,2023-05-09,Other,High,16.55,4.0,Kevin Johnson,d6c03636,Richard Adams
TKT0119,2023-04-29 00:00:00,2023-05-05,Other,Medium,48.47,1.0,William Miller,17a86774,Luis Olson
TKT0120,2023-04-30 00:00:00,2023-05-14,Software,Low,65.6,3.0,Ashley Roberts,41f61999,Shannon Luna
TKT0121,2023-05-01 00:00:00,2023-05-09,Account,Medium,46.26,1.0,Eric Stephens,,Heather Davis
TKT0122,2023-05-02 00:00:00,2023-05-12,Hardware,Medium,20.35,3.0,Daniel Taylor,5b6855f9,Catherine Williams
TKT0123,2023-05-03 00:00:00,2023-05-15,Network,High,46.23,5.0,Shawn Dixon,27274614,James Harris
TKT0124,2023-05-04 00:00:00,2023-05-07,Other,Low,41.26,4.0,Paula Kennedy,51f37c6b,Andrew Wright
TKT0125,2023-05-05 00:00:00,2023-05-15,Software,Low,43.81,1.0,Paula Kennedy,a1660edb,Mr. Timothy Osborn
TKT0126,2023-05-06 00:00:00,2023-05-18,Hardware,Urgent,47.1,5.0,Ashley Roberts,550de4fa,Ashley Jones
TKT0127,2023-05-07 00:00:00,2023-05-12,Software,Low,53.58,2.0,Ashley Roberts,550de4fa,Jill Carter
TKT0128,2023-05-08 00:00:00,2023-05-14,Hardware,Medium,49.84,2.0,Paula Kennedy,d2b14c95,Brooke Chambers
TKT0129,2023-05-09 00:00:00,2023-05-12,Hardware,Urgent,43.08,3.0,Danielle Robinson,,Shane Green
TKT0130,2023-05-10 00:00:00,2023-05-20,Other,High,59.44,5.0,Ashley Roberts,beea2ef5,Julie Woodard
TKT0131,2023-05-11 00:00:00,2023-05-13,Hardware,Low,36.29,4.0,Daniel Taylor,d722ac42,Virginia Gutierrez
TKT0132,2023-05-12 00:00:00,2023-05-15,Hardware,Urgent,32.26,4.0,Joshua Avila,2db4adcc,Rachel Hansen
TKT0133,05-13-2023,2023-05-18,Hardware,Low,30.03,1.0,Ashley Morgan,2c92c8b9,Jeremy Smith
TKT0134,2023-05-14 00:00:00,,Other,Urgent,,,Daniel Taylor,8f38d435,Shane Johnson
TKT0135,2023-05-15 00:00:00,2023-05-19,Account,Low,52.34,2.0,Shawn Dixon,4c0c5440,Jessica Richard
TKT0136,2023-05-16 00:00:00,2023-05-17,Other,Low,38.51,5.0,William Miller,41c4accf,Melissa Hutchinson
TKT0137,2023-05-17 00:00:00,2023-05-30,Other,Low,50.96,4.0,Danielle Robinson,,Dwayne Graham
TKT0138,2023-05-18 00:00:00,2023-05-23,Hardware,Low,40.75,4.0,Daniel Taylor,bd0b85c7,Mrs. Christy Goodman
TKT0139,2023-05-19 00:00:00,2023-05-27,Network,Urgent,69.7,2.0,Daniel Taylor,1ac89b76,Brandon Brown
TKT0140,2023-05-20 00:00:00,2023-05-21,Hardware,High,53.58,3.0,Joshua Avila,945b4f9e,Melissa Elliott
TKT0141,2023-05-21 00:00:00,2023-05-26,Network,Low,40.18,3.0,Danielle Robinson,9dd2f381,Carly Miller
TKT0142,05-22-2023,2023-05-23,Network,Medium,49.55,3.0,Ashley Roberts,b63d9b63,Bobby Mclaughlin
TKT0143,2023-05-23 00:00:00,2023-06-04,Software,High,43.78,4.0,Eric Stephens,02052603,Marilyn Miller
TKT0144,2023-05-24 00:00:00,,Account,High,,,Shawn Dixon,3a11c776,Patrick Williams
TKT0145,2023-05-25 00:00:00,2023-06-06,Software,Urgent,35.52,1.0,William Miller,,Brooke Moore
TKT0146,2023-05-26 00:00:00,2023-05-30,Network,Low,48.79,1.0,Joshua Avila,e7a158d9,Connie Smith
TKT0147,2023-05-27 00:00:00,2023-05-29,Network,Medium,40.34,4.0,Ashley Morgan,c7b2dc3c,Melanie Hughes
TKT0148,2023-05-28 00:00:00,,Other,Medium,,,William Miller,bff3604d,Tracy Medina
TKT0149,2023-05-29 00:00:00,2023-05-30,Network,High,28.41,3.0,William Miller,981fb490,Brandon Andrade
TKT0150,2023-05-30 00:00:00,2023-06-04,Other,Medium,27.81,4.0,Danielle Robinson,d454ca21,Kenneth Moore
TKT0151,2023-05-31 00:00:00,2023-06-11,Other,Low,46.8,4.0,Ashley Roberts,f29c80fb,Sandra Moore
TKT0152,2023-06-01 00:00:00,2023-06-09,Software,Urgent,38.21,4.0,Daniel Taylor,f29c80fb,Daniel Weeks
TKT0153,2023-06-02 00:00:00,2023-06-16,Other,High,45.48,1.0,Joshua Avila,,Paul Owens
TKT0154,2023-06-03 00:00:00,2023-06-15,Network,Medium,24.49,3.0,Shawn Dixon,c3e8d3d1,Ryan Nielsen
TKT0155,2023-06-04 00:00:00,2023-06-05,Other,High,39.94,1.0,Shawn Dixon,82319251,Nicole Sandoval
TKT0156,2023-06-05 00:00:00,2023-06-11,Network,Medium,64.41,5.0,Ashley Morgan,27a04f54,Jacob Brown
TKT0157,2023-06-06 00:00:00,2023-06-13,Account,Medium,53.37,1.0,Shawn Dixon,ae297d95,Travis Downs
TKT0158,2023-06-07 00:00:00,,Hardware,High,,,Eric Stephens,ea4165e7,Thomas Davis
TKT0159,2023-06-08 00:00:00,2023-06-19,Other,Low,61.93,2.0,William Miller,3893d68f,Stephanie Black
TKT0160,2023-06-09 00:00:00,2023-06-17,Hardware,Medium,25.09,3.0,Paula Kennedy,72d5f50e,Dennis Nelson
TKT0161,2023-06-10 00:00:00,2023-06-23,Software,Urgent,47.7,2.0,Kevin Johnson,,Christopher Hodges
TKT0162,2023-06-11 00:00:00,,Hardware,Urgent,,,Shawn Dixon,1beedbbb,Karen Gentry
TKT0163,2023-06-12 00:00:00,2023-06-26,Network,Urgent,37.44,3.0,Ashley Morgan,ff992293,Courtney Reed
TKT0164,2023-06-13 00:00:00,2023-06-23,Hardware,High,33.83,5.0,Joshua Avila,5d880b8b,John Fernandez
TKT0165,2023-06-14 00:00:00,2023-06-18,Software,Urgent,39.19,4.0,Kevin Johnson,63faf5ef,Shannon Hernandez
TKT0166,06-15-2023,2023-06-26,Account,High,38.08,2.0,Kevin Johnson,6853aec6,Chelsea Ortega
TKT0167,06-16-2023,2023-06-23,Software,Medium,36.14,3.0,Joshua Avila,fc1d573a,John Rogers
TKT0168,2023-06-17 00:00:00,2023-06-29,Account,Low,63.96,5.0,Eric Stephens,f8e37c19,Christopher Barber
TKT0169,2023-06-18 00:00:00,2023-06-26,Hardware,High,48.15,5.0,Daniel Taylor,,Melinda Roberts
TKT0170,2023-06-19 00:00:00,2023-06-20,Hardware,Low,60.58,5.0,Shawn Dixon,e6853d4d,Mr. Jonathan Bryant
TKT0171,2023-06-20 00:00:00,2023-07-01,Hardware,Medium,43.58,3.0,Kevin Johnson,12cf26a0,Devon Romero
TKT0172,2023-06-21 00:00:00,2023-07-04,Software,Low,59.38,1.0,William Miller,ae7d2c83,Cassandra Strickland
TKT0173,06-22-2023,2023-06-28,Hardware,Low,39.01,5.0,Ashley Morgan,a1a58da0,Jason Manning
TKT0174,2023-06-23 00:00:00,2023-06-25,Other,Medium,46.86,5.0,William Miller,7562fc16,Lindsay Maxwell
TKT0175,06-24-2023,2023-06-27,Hardware,Medium,51.55,5.0,Eric Stephens,60335ede,Lauren Schwartz
TKT0176,2023-06-25 00:00:00,2023-07-06,Software,Urgent,35.71,5.0,Kevin Johnson,,David Thomas
TKT0177,2023-06-26 00:00:00,2023-06-29,Network,Low,52.56,1.0,Daniel Taylor,,Jaime Ramsey
TKT0178,2023-06-27 00:00:00,,Network,High,,,Joshua Avila,2c51cf3f,Michelle Camacho
TKT0179,2023-06-28 00:00:00,2023-07-03,Other,Urgent,48.34,1.0,Kevin Johnson,e28adc40,Linda Anderson
TKT0180,2023-06-29 00:00:00,2023-07-06,Network,High,38.56,2.0,Paula Kennedy,688084ca,Matthew Arellano
TKT0181,2023-06-30 00:00:00,2023-07-08,Software,High,54.64,1.0,Paula Kennedy,2bd9366c,Lisa Jones
TKT0182,2023-07-01 00:00:00,2023-07-13,Software,Low,41.21,1.0,Shawn Dixon,072a2f49,Joshua Bailey
TKT0183,2023-07-02 00:00:00,2023-07-04,Software,Urgent,45.21,2.0,Eric Stephens,ad965039,Douglas Johnson
TKT0184,2023-07-03 00:00:00,2023-07-11,Hardware,Medium,29.02,5.0,Paula Kennedy,76f64a7d,Patricia Burton
TKT0185,2023-07-04 00:00:00,2023-07-17,Other,Medium,54.8,1.0,Ashley Roberts,,David Wallace
TKT0186,2023-07-05 00:00:00,2023-07-10,Network,Medium,63.0,1.0,Daniel Taylor,1adb8d4f,Lisa Smith
TKT0187,2023-07-06 00:00:00,2023-07-11,Hardware,Urgent,55.01,3.0,Ashley Morgan,a9c1ed9c,Janice Mathis
TKT0188,07-07-2023,,Other,High,,,Ashley Morgan,a1a858cb,Eric Hammond
TKT0189,2023-07-08 00:00:00,2023-07-17,Hardware,Urgent,38.22,5.0,William Miller,87658d23,Mary Shepherd DVM
TKT0190,2023-07-09 00:00:00,2023-07-13,Other,Medium,59.95,1.0,Joshua Avila,d27972f4,Katelyn Lopez
TKT0191,07-10-2023,,Network,Low,,,Kevin Johnson,dfc77fec,Robert Kim
TKT0192,2023-07-11 00:00:00,2023-07-15,Network,Medium,33.03,2.0,William Miller,f457d5e2,Angela Lowe
TKT0193,07-12-2023,2023-07-23,Network,High,42.08,5.0,William Miller,,Ryan Garcia
TKT0194,2023-07-13 00:00:00,,Network,Medium,,,Ashley Roberts,58a410a3,Jeanette Johnston
TKT0195,2023-07-14 00:00:00,2023-07-18,Software,Medium,45.87,5.0,Kevin Johnson,e1e989e1,Samantha Castro
TKT0196,2023-07-15 00:00:00,2023-07-25,Other,High,43.82,3.0,Daniel Taylor,f092ee82,Leslie Campbell
TKT0197,2023-07-16 00:00:00,2023-07-17,Other,Urgent,53.51,4.0,Kevin Johnson,7cd5d618,Donna Hartman
TKT0198,2023-07-17 00:00:00,2023-07-29,Software,Medium,26.44,4.0,Danielle Robinson,c5bb80a2,Kimberly Ingram
TKT0199,2023-07-18 00:00:00,2023-07-28,Software,High,47.39,2.0,Daniel Taylor,c987234c,Sean Harrington DDS
TKT0200,2023-07-19 00:00:00,2023-07-25,Hardware,Low,52.07,1.0,Daniel Taylor,c3f92e6a,David Lee
TKT0201,2023-07-20 00:00:00,2023-08-03,Network,Low,51.11,4.0,Daniel Taylor,1b208ad2,Tyler Alvarez
TKT0202,07-21-2023,2023-08-03,Hardware,Medium,62.74,3.0,Kevin Johnson,1b208ad2,Matthew Tate
TKT0203,2023-07-22 00:00:00,2023-07-31,Hardware,Medium,35.01,2.0,Paula Kennedy,304802cb,Amber Wright
TKT0204,2023-07-23 00:00:00,2023-08-05,Network,Medium,46.9,1.0,William Miller,35c395d0,Ian Walker
TKT0205,2023-07-24 00:00:00,2023-08-07,Network,Urgent,63.88,2.0,Daniel Taylor,5729d437,Heather Smith
TKT0206,2023-07-25 00:00:00,2023-08-04,Other,Urgent,48.98,2.0,Joshua Avila,783b1036,Nathan Price
TKT0207,2023-07-26 00:00:00,2023-08-08,Account,Medium,66.88,3.0,Ashley Roberts,4f58e082,Bradley Flores
TKT0208,2023-07-27 00:00:00,2023-08-03,Account,Urgent,30.34,2.0,Paula Kennedy,65130824,Dawn Reed
TKT0209,2023-07-28 00:00:00,,Account,High,,,Shawn Dixon,,Brett Taylor DDS
TKT0210,2023-07-29 00:00:00,2023-08-10,Hardware,Low,67.89,1.0,William Miller,b2a82935,Andrew Burns
TKT0211,2023-07-30 00:00:00,2023-08-07,Hardware,Low,50.46,1.0,Paula Kennedy,5eae6c51,Dawn Small
TKT0212,2023-07-31 00:00:00,2023-08-13,Software,High,56.29,3.0,Ashley Roberts,ebbdca61,Elizabeth Coleman
TKT0213,2023-08-01 00:00:00,2023-08-12,Software,High,70.02,3.0,Daniel Taylor,c148255d,Dr. Karen White
TKT0214,08-02-2023,2023-08-06,Network,Medium,39.32,1.0,Ashley Roberts,e3bbd050,Jason Santiago
TKT0215,2023-08-03 00:00:00,2023-08-11,Account,Urgent,55.99,2.0,William Miller,f7fa611b,Ashley Adams
TKT0216,2023-08-04 00:00:00,2023-08-16,Network,Urgent,67.17,5.0,William Miller,f41a5324,Stephen Dennis
TKT0217,2023-08-05 00:00:00,2023-08-09,Account,Medium,39.52,3.0,Eric Stephens,,Tiffany Copeland
TKT0218,2023-08-06 00:00:00,2023-08-13,Other,Medium,35.97,1.0,William Miller,7884ba4b,Mark Meadows
TKT0219,2023-08-07 00:00:00,2023-08-17,Other,Urgent,61.61,2.0,Paula Kennedy,745d68b4,Darlene Stanton
TKT0220,2023-08-08 00:00:00,2023-08-21,Other,Medium,56.14,2.0,Joshua Avila,7254a89e,David Smith
TKT0221,2023-08-09 00:00:00,2023-08-14,Account,High,66.91,3.0,Joshua Avila,00418e65,April Brown
TKT0222,2023-08-10 00:00:00,2023-08-23,Network,Urgent,57.68,5.0,Paula Kennedy,ed592add,Joseph Ortega
TKT0223,2023-08-11 00:00:00,,Other,Urgent,,,Ashley Roberts,8c7c1d24,Melissa Fowler
TKT0224,08-12-2023,,Hardware,High,,,Shawn Dixon,b80a3977,Kimberly Richardson
TKT0225,2023-08-13 00:00:00,,Hardware,Medium,,,William Miller,,Sara Brown
TKT0226,2023-08-14 00:00:00,2023-08-23,Account,Medium,42.13,5.0,Eric Stephens,f2dd6268,Jordan Lopez
TKT0227,2023-08-15 00:00:00,2023-08-27,Software,Low,57.0,3.0,Kevin Johnson,f2dd6268,Gregory Black
TKT0228,08-16-2023,2023-08-19,Account,Low,50.72,2.0,William Miller,898f911f,Kelly Dennis
